date lat lon z km_lat km_lon
2013-04-01 38.9861818351 141.66984654509997 0.08554547 437.99479620819403 427.3585612807911
2013-04-02 38.9861818331 141.6698465334 0.08554562 437.99479598580416 427.3585602157082
2013-04-03 38.9861818284 141.66984654830003 0.08555351 437.99479546318815 427.35856157210185
2013-04-04 38.9861818369 141.66984653630004 0.08555319 437.99479640834534 427.3585604797073
2013-04-05 38.9861818352 141.66984654839996 0.08554766999999999 437.99479621931374 427.35856158119884
2013-04-06 38.9861818363 141.66984656709997 0.08555062 437.99479634162793 427.35856328351616
2013-04-07 38.9861818205 141.66984659989998 0.08555133999999999 437.9947945847484 427.3585662693995
2013-04-08 38.9861818434 141.6698465732 0.08555249000000001 437.9947971311118 427.3585638388208
2013-04-09 38.9861818417 141.66984655249996 0.08554298 437.994796942081 427.35856195443426
2013-04-10 38.9861818378 141.6698465811 0.08555013 437.99479650842017 427.35856455797995
2013-04-11 38.9861818224 141.6698465847 0.08555112 437.99479479601854 427.35856488569937
2013-04-12 38.9861818073 141.6698465957 0.08554857 437.9947931169752 427.3585658870619
2013-04-13 38.9861818246 141.6698466198 0.08555078 437.9947950406478 427.3585680809583
2013-04-14 38.9861818135 141.6698466015 0.08555413 437.9947938063834 427.35856641505484
2013-04-15 38.9861818183 141.66984662150003 0.08554806000000001 437.9947943401191 427.3585682357159
2013-04-16 38.9861818023 141.66984662239997 0.08555395 437.9947925610009 427.35856831764056
2013-04-17 38.9861817853 141.66984664070003 0.08555133 437.9947906706866 427.3585699835492
2013-04-18 38.98618181 141.6698466282 0.08554801999999999 437.9947934172013 427.3585688456335
2013-04-19 38.9861818099 141.6698466433 0.08554258000000001 437.99479340608247 427.35857022023146
2013-04-20 38.9861818019 141.66984664079996 0.08554558 437.994792516523 427.3585699926462
2013-04-21 38.9861817969 141.6698466473 0.0855438 437.9947919605479 427.3585705843647
2013-04-22 38.9861818167 141.66984665849998 0.08554719 437.9947941622072 427.3585716039316
2013-04-23 38.9861818146 141.6698466575 0.08554774000000001 437.9947939286984 427.3585715128995
2013-04-24 38.986181811 141.66984663029996 0.08555662 437.99479352839666 427.3585690367997
2013-04-25 38.9861818178 141.66984665450002 0.08555759 437.99479428452224 427.3585712398035
2013-04-26 38.9861818154 141.6698466761 0.08555433999999999 437.9947940176544 427.3585732061147
2013-04-27 38.986181816 141.6698466386 0.08555671 437.99479408437094 427.35856979237786
2013-04-28 38.9861818219 141.6698466949 0.08555132 437.9947947404209 427.35857491753427
2013-04-29 38.98618182 141.66984671210002 0.08555023 437.9947945291507 427.3585764833036
2013-04-30 38.9861818008 141.66984670479997 0.08554922000000001 437.99479239420793 427.3585758187574
2013-05-01 38.9861817985 141.66984671299997 0.08555515 437.9947921384598 427.35857656522825
2013-05-02 38.9861818052 141.66984671340003 0.08555369 437.99479288346566 427.35857660164726
2013-05-03 38.9861818002 141.66984667400004 0.08554473 437.9947923274914 427.35857301494855
2013-05-04 38.9861817991 141.66984670069996 0.08555372 437.99479220517713 427.35857544552204
2013-05-05 38.9861817978 141.66984671060004 0.08555405 437.9947920606235 427.35857634675557
2013-05-06 38.9861817958 141.6698466876 0.0855465 437.99479183823365 427.35857425299326
2013-05-07 38.9861817765 141.66984672119997 0.08554497000000001 437.9947896921712 427.35857731169904
2013-05-08 38.98618179 141.6698467307 0.08555048 437.9947911933034 427.35857817651356
2013-05-09 38.9861817826 141.669846737 0.08555971 437.9947903704605 427.3585787500225
2013-05-10 38.9861817894 141.66984673219997 0.08555597000000001 437.99479112658605 427.3585783130616
2013-05-11 38.986181797 141.66984674089997 0.08555976 437.99479197166755 427.3585791050484
2013-05-12 38.986181786 141.66984676050004 0.08554982 437.99479074852366 427.3585808893008
2013-05-13 38.9861817736 141.6698467869 0.08555025999999999 437.99478936970644 427.3585832925678
2013-05-14 38.9861817792 141.6698467461 0.08555 437.9947899923981 427.3585795784232
2013-05-15 38.9861817823 141.6698467644 0.08554727 437.9947903371022 427.35858124432673
2013-05-16 38.9861817791 141.66984677940002 0.08555071 437.9947899812784 427.35858260982246
2013-05-17 38.9861817685 141.66984678849997 0.08554959 437.9947888026125 427.358583438218
2013-05-18 38.9861817753 141.6698467854 0.08555674999999999 437.99478955873724 427.3585831560198
2013-05-19 38.9861817398 141.66984681810004 0.08555810999999999 437.99478561131804 427.3585861328009
2013-05-20 38.9861817659 141.66984682329996 0.08555616 437.9947885135053 427.3585866061653
2013-05-21 38.9861817674 141.6698467961 0.08555837 437.99478868029746 427.35858413007065
2013-05-22 38.9861817607 141.669846808 0.08554640000000001 437.9947879352916 427.358585213363
2013-05-23 38.9861817577 141.6698467983 0.08555688 437.9947876017072 427.3585843303442
2013-05-24 38.9861817545 141.66984681999998 0.08556034 437.9947872458834 427.35858630575757
2013-05-25 38.9861817599 141.6698468019 0.08555697000000001 437.99478784633567 427.3585846580636
2013-05-26 38.9861817429 141.66984683060002 0.08555408 437.99478595602216 427.35858727071144
2013-05-27 38.9861817456 141.6698468391 0.08555407 437.9947862562483 427.3585880444888
2013-05-28 38.9861817412 141.6698468618 0.08555813999999999 437.99478576699056 427.35859011093936
2013-05-29 38.9861817236 141.66984684830004 0.08555612000000001 437.9947838099597 427.35858888199675
2013-05-30 38.9861817397 141.669846835 0.08555195 437.9947856001983 427.35858767125336
2013-05-31 38.986181752 141.6698468587 0.08555979000000001 437.99478696789583 427.35858982873594
2013-06-01 38.9861817463 141.66984687620004 0.08555663 437.9947863340845 427.358591421817
2013-06-02 38.986181738 141.6698468966 0.08556094 437.99478541116673 427.3585932788867
2013-06-03 38.9861817413 141.6698468879 0.08555566 437.9947857781102 427.35859248689985
2013-06-04 38.9861817533 141.66984686679996 0.08555641 437.99478711244944 427.35859056609945
2013-06-05 38.9861817257 141.66984688169998 0.08555602000000001 437.9947840434692 427.3585919224931
2013-06-06 38.9861817276 141.66984690009997 0.08556111 437.99478425473944 427.3585935974987
2013-06-07 38.9861817304 141.66984690289996 0.085559 437.99478456608523 427.35859385239047
2013-06-08 38.9861816882 141.6698469076 0.08556457 437.99477987365935 427.35859428024924
2013-06-09 38.9861817142 141.6698469121 0.08556105 437.9947827647277 427.35859468989844
2013-06-10 38.9861817232 141.669846931 0.08555921 437.9947837654817 427.35859641042015
2013-06-11 38.986181724 141.6698469396 0.08556568 437.9947838544376 427.35859719330483
2013-06-12 38.9861817188 141.6698469455 0.08556256999999999 437.994783276224 427.35859773039994
2013-06-13 38.9861817044 141.66984693159998 0.08556558 437.9947816750177 427.3585964650383
2013-06-14 38.9861817187 141.66984695350004 0.08556419 437.99478326510507 427.3585984586664
2013-06-15 38.9861817248 141.6698469479 0.08556912 437.9947839433936 427.3585979488778
2013-06-16 38.9861817021 141.6698469649 0.08556604 437.99478141926875 427.3585994964376
2013-06-17 38.9861817057 141.66984698069996 0.08556617 437.9947818195705 427.3586009347559
2013-06-18 38.986181698 141.66984698830004 0.08556454 437.9947809633701 427.35860162661373
2013-06-19 38.9861817096 141.66984694849998 0.08556587 437.9947822532306 427.35859800349596
2013-06-20 38.9861817133 141.66984696559996 0.08556857 437.994782664652 427.358599560158
2013-06-21 38.9861816984 141.6698469766 0.08557018 437.9947810078481 427.3586005615257
2013-06-22 38.9861816861 141.6698469919 0.0855591 437.9947796401498 427.358601954328
2013-06-23 38.9861816973 141.66984699800003 0.08555969000000001 437.99478088553303 427.3586025096326
2013-06-24 38.9861817068 141.6698469735 0.08556134 437.99478194188475 427.3586002793223
2013-06-25 38.9861816903 141.66984698340002 0.08556383 437.9947801071689 427.35860118055064
2013-06-26 38.9861816907 141.66984701629997 0.0855663 437.99478015164686 427.3586041755309
2013-06-27 38.9861816737 141.6698470059 0.08556308 437.99477826133335 427.3586032287917
2013-06-28 38.9861816879 141.66984700670002 0.08556485000000001 437.9947798403011 427.3586033016194
2013-06-29 38.9861817139 141.6698470293 0.08555592 437.9947827313694 427.3586053589627
2013-06-30 38.9861816787 141.66984701119998 0.08555718 437.99477881730763 427.35860371126347
2013-07-01 38.9861816625 141.66984708940004 0.08556903 437.9947770159501 427.35861083004795
2013-07-02 38.9861816771 141.6698470687 0.08555925 437.99477863939575 427.3586089456614
2013-07-03 38.9861816631 141.66984703920002 0.0855711 437.99477708266664 427.358606260191
2013-07-04 38.9861816879 141.6698470376 0.08556573 437.9947798403011 427.35860611453563
2013-07-05 38.9861816818 141.6698470197 0.08556556 437.99477916201175 427.358604485046
2013-07-06 38.9861816932 141.66984705699997 0.08556408 437.99478042963443 427.35860788057335
2013-07-07 38.9861816839 141.66984705250002 0.08556828 437.99477939552133 427.35860747092926
2013-07-08 38.9861816602 141.66984710359998 0.08556931 437.99477676020194 427.3586121227109
