name lat lon begin end
0ENV 60.8088 15.766500000000008 2015-04-09 2024-08-24
0ERS 63.8576 20.335499999999996 2020-09-22 2024-08-24
0ESK 59.3683 16.51060000000001 2010-07-19 2024-08-24
0ESL 55.8387 13.310300000000012 2020-01-30 2024-08-24
0ESN 58.5872 16.09620000000001 2015-04-17 2024-08-24
0FAF 65.1252 20.786599999999993 2012-11-21 2024-08-24
0FAL 58.1699 13.556100000000015 2002-09-09 2024-08-24
0FAR 57.919 19.139099999999985 2006-04-25 2024-08-24
0FBG 56.9036 12.490399999999994 2002-09-09 2011-01-19
0FIL 59.7147 14.16210000000001 2016-08-19 2024-08-24
0FIN 61.0518 15.57159999999999 2015-04-09 2024-08-24
0FLR 63.9836 20.236199999999997 2021-03-19 2024-08-24
0FLU 60.6245 15.622800000000012 2012-03-27 2024-08-24
0FRA 58.1836 12.140199999999993 2009-09-29 2014-06-25
0FRB 60.1411 14.37100000000001 2013-11-28 2024-08-24
0FRE 64.0775 18.40270000000001 2008-02-01 2024-08-24
0FRI 61.8973 16.55510000000001 2013-12-05 2024-08-24
0FRL 57.6503 11.912200000000013 2010-12-15 2024-08-24
0FRO 59.4666 15.362799999999993 2002-04-20 2016-01-18
0FUN 62.5194 12.601100000000002 2007-08-22 2024-08-24
0FUR 61.1684 15.142200000000003 2005-12-02 2024-08-24
0GAD 64.5042 14.138800000000003 2007-08-24 2024-08-24
0GAL 62.9142 15.236400000000003 2007-08-31 2024-08-24
0GAM 58.7552 16.614900000000006 2015-07-21 2024-08-24
0GEB 58.6919 11.261099999999999 2013-03-14 2024-08-24
0GIM 60.1728 18.170000000000016 2015-04-09 2017-09-20
0GIS 60.1019 18.80109999999999 2015-04-09 2024-08-24
0GLO 65.2615 19.623500000000007 2015-04-09 2024-08-24
0GMA 59.9461 12.909600000000012 2015-04-09 2024-08-24
0GMO 57.712 11.983699999999999 2013-03-26 2019-01-24
0GNA 58.024 14.461399999999998 2011-10-22 2024-08-24
0GOT 57.7077 11.965599999999995 1999-05-21 2002-08-28
0GRA 60.0714 14.979899999999986 2005-11-10 2024-08-24
0GRB 57.8342 12.285699999999991 2022-12-19 2024-08-24
0GRI 59.6254 17.251100000000008 2011-04-05 2024-08-24
0GRN 63.0414 13.967899999999986 2008-03-11 2024-08-24
0GRO 62.0603 12.317299999999989 2006-03-03 2024-08-24
0GRS 58.3308 12.676999999999992 2012-01-02 2024-08-24
0GRY 58.1867 16.800900000000013 2004-09-29 2017-05-23
0GST 64.1494 20.78460000000001 2019-08-13 2024-08-24
0GUL 58.9812 14.109700000000004 2011-09-29 2024-08-24
0GUM 64.2343 21.018599999999992 2019-09-03 2024-08-24
0GUN 66.0875 21.8005 2006-06-15 2024-08-24
0GVA 67.1366 20.66669999999999 2009-05-30 2024-08-24
0GVG 59.3251 18.39009999999999 2018-02-21 2024-08-24
0HAD 56.6688 12.8767 2011-02-08 2022-11-29
